Week,Year,Revenue from City Auctions (Year to Date ($)),Percent Toward Yearly Goal,Yearly Goal ($)
Week,Year,,,
"Apr 11-17, 2011",2011,892231.95,40.56,2200000
"Apr 18-24, 2011",2011,909761.07,41.35,2200000
"Apr 25 - May 1, 2011",2011,938249.06,42.65,2200000
"May 2-8, 2011",2011,1081067.13,49.14,2200000
"May 9-15, 2011",2011,1115828.89,50.72,2200000
"May 16-22, 2011",2011,1183818.48,53.81,2200000
"May 23-29, 2011",2011,1280352.74,58.2,2200000
May 30 - Jun 5,2011,1284759.41,58.4,2200000
"Jun 6-12, 2011",2011,1448487.68,65.84,2200000
"Jun 13-19, 2011",2011,1496461.79,68.02,2200000
"Jun 20 - 26, 2011",2011,1546523.45,70.3,2200000
"Jun 27 - Jul 3, 2011",2011,1577293.38,71.7,2200000
"Jul 4 - 10, 2011",2011,1590813.38,72.31,2200000
"Jul 11 - 17, 2011",2011,1616568.34,73.48,2200000
"Jul 18 - 24, 2011",2011,1690417.84,76.84,2200000
"Jul 25 - 31, 2011",2011,1919791.83,87.26,2200000
"Aug 1 - 7, 2011",2011,1965225.69,89.33,2200000
"Aug 8 - 14, 2011",2011,2018003.65,91.73,2200000
"Aug 15 - 21, 2011",2011,2217517.64,100.8,2200000
"Aug 22 - 28, 2011",2011,2330177.62,105.92,2200000
"Aug 29 - Sept 4, 2011",2011,2400892.62,109.13,2200000
"Sept 5 - 11, 2011",2011,2442010.26,111,2200000
"Sept 12 - 18, 2011",2011,2452137.26,111.46,2200000
"Sept 19 - 25, 2011",2011,2590350.14,117.74,2200000
"Sept 26 - Oct 2, 2011",2011,2621311.54,119.15,2200000
"Oct 3 - 9, 2011",2011,2672647.51,121.48,2200000
"Oct 10 - 16, 2011",2011,2741813,124.63,2200000
"Oct 17 - 23, 2011",2011,2819592,128.16,2200000
"Oct 24 - 30, 2011",2011,2895178.68,131.6,2200000
"Oct 31 - Nov 6, 2011",2011,2958719.66,134.49,2200000
"Nov 7 - 13, 2011",2011,3040444.93,138.2,2200000
"Nov 14 - 20, 2011",2011,3107629.87,141.26,2200000
"Nov 21 - 27, 2011",2011,3134960.81,142.5,2200000
"Nov 28 - Dec 4, 2011",2011,3194579.82,145.21,2200000
"Dec 5-11, 2011",2011,3402678.31,154.67,2200000
"Dec 12 - 18, 2011",2011,3511336.8,159.61,2200000
"Dec 19 - 25, 2011",2011,3624808.34,164.76,2200000
Dec 26 - 1,2011,3632795.19,165.13,2200000
"Jan 2 - 8, 2012",2012,36497.82,0.79,4600000
"Jan 9 - 15, 2012",2012,98018.69,2.13,4600000
"Jan 16 - 22, 2012",2012,194943.68,4.24,4600000
"Jan 23 - 29, 2012",2012,224124.68,4.87,4600000
"Jan 30 - Feb 5, 2012",2012,323526.68,7.03,4600000
"Feb 6 - 12, 2012",2012,357947.18,7.78,4600000
"Feb 13 - 19, 2012",2012,407843.08,8.87,4600000
"Feb 20-26, 2012",2012,478328.49,10.4,4600000
"Feb 27-March 4, 2012",2012,783756.5,17.04,4600000
"March 5-11, 2012",2012,821364.58,17.86,4600000
"March 12-18, 2012",2012,916891.55,19.93,4600000
"March 19-25, 2012",2012,926487.85,20.14,4600000
"March 26 - April 1, 2012",2012,994659.85,21.62,4600000
"April 2-8, 2012",2012,1105459.85,24.03,4600000
"April 9-15, 2012",2012,1176180.84,25.57,4600000
"April 16-22, 2012",2012,1248964.83,27.15,4600000
"April 23-29, 2012",2012,1425169.1,30.98,4600000
"April 30 -May 6, 2012",2012,1484956.59,32.28,4600000
"May 7-13, 2012",2012,1531768.57,33.3,4600000
